S_SUPPKEY,S_NAME,S_ADDRESS,S_NATIONKEY,S_PHONE,S_ACCTBAL,S_COMMENT,edwLoadDate
59,Supplier#000000059,N8lKbYjMnVlEHmTPRmBgtLiX8rrJx,17,27-249-395-9123,586.16,ffily along the even decoys. final instructions abov,01-01-2026
60,Supplier#000000060,cb08ntDTARo47WmnBcYXu,8,18-550-360-2464,4515.80,thely express ideas use blithely ,01-01-2026
61,Supplier#000000061,Oz0M1qBR9I,8,18-396-489-9719,6096.58,s the slyly regular ideas shall ,01-01-2026
62,Supplier#000000062,bSmlFYUKBeRsqJxwC9 zS6xpFdEf5jNTb,19,29-603-653-2494,9202.57,"ts. furiously ironic pinto beans are permanently after the bold ideas. regular, express f",01-01-2026
63,Supplier#000000063,"NlV0OQyIoPvPkw5AYuWGomX,hgqm1",5,15-781-401-3047,5742.03,ar deposits. blithely bold accounts against the slyly final pinto beans sleep about the exp,01-01-2026
64,Supplier#000000064,w80JjnIP lGoLdUjRutbv81gGlqqpW4PQBeOtSYU,24,34-278-790-7004,1309.70,uickly regular requests use. carefully i,01-01-2026
65,Supplier#000000065,BsAnHUmSFArppKrM,22,32-444-835-2434,-963.79,l ideas wake carefully around the regular packages. furiously ruthless pinto bea,01-01-2026
66,Supplier#000000066,"qYdruFJQJYYiKvnNVmYfCVydVB8bcW,AW,U6SOV3",23,33-300-836-9529,2455.98,ar requests. express orbits de,01-01-2026
67,Supplier#000000067,7YrEKJncHFk5D W7ZaqfAXV,4,14-563-538-1657,3576.55,ray slyly final foxes. furio,01-01-2026
68,Supplier#000000068,"Ue6N50wH2CwE4PPgTGLmat,ibGYYlDoOb3xQwtgb",21,31-267-327-4328,5119.38,inal requests. ruthlessly ironic packages cajole,01-01-2026
69,Supplier#000000069,"T2Dl9,f97e333eRuMi2z ",4,14-491-707-8310,8466.50,! carefully ironic instructions nag quickly pending requests. fluffily even deposits sleep a,01-01-2026
70,Supplier#000000070,"INWNH2w,OOWgNDq0BRCcBwOMQc6PdFDc4",6,16-821-608-1166,9508.37,ests sleep quickly express ideas. ironic ideas haggle about the final T,01-01-2026
71,Supplier#000000071,YFo8an7P6wi Q,1,11-743-919-7272,8179.68," final accounts. bold, final escapades must have to cajole about the special platelets. fu",01-01-2026
72,Supplier#000000072,mKpAJojtawk2alqV4 ZEbJ3PH3wfYqy AM8rGq1,18,28-113-898-6643,7014.50, theodolites sublate furiously about the regularly e,01-01-2026
73,Supplier#000000073,HBZA1NHvrswQCxTTjg 5XrfSOGgMRKNCe2ovE,16,26-758-310-7496,3793.13,. never pending asymptotes a,01-01-2026
74,Supplier#000000074,uM3yV5NOc6b5wNdpxF69CW 8QvDxqvKubRJtA,20,30-166-486-1559,4170.51,carefully along the quickly regular sentiments. ironic accounts sleep. regular deposits are blith,01-01-2026
75,Supplier#000000075,7f3gN4rP1livII,18,28-716-704-8686,-224.84,"eans. even, silent packages c",01-01-2026
76,Supplier#000000076,JBhSBa3cLYvNgHUYtUHmtECCD,14,24-228-763-7840,2971.10,", even instructions. furiously unusual deposits wake slyly about the ev",01-01-2026
77,Supplier#000000077,"wVtcr0uH3CyrSiWMLsqnB09Syo,UuZxPMeBghlY",7,17-281-345-4863,4186.95,the slyly final asymptotes. blithely pending theodoli,01-01-2026
78,Supplier#000000078,9y3OZ2CV hGrsrQxzB7V3zTtygHVHlG3SD6yrz,5,15-670-998-6860,1044.10,", regular packages wake quickly bold requests. carefully unusual requests about the unusual request",01-01-2026
79,Supplier#000000079,p0u3tztSXUD2J8vFfLNFNKsrRRv7qyUtTBTA,14,24-402-227-9600,1191.94,nto beans integrate slyly across the fluffily pending multipliers. carefully ste,01-01-2026
80,Supplier#000000080,"cJ2MHSEJ13rIL2Wj3D5i6hRo30,ZiNUXhqn",21,31-646-289-1906,-40.45,ackages. blithely bold requests wake quickly. carefully regular foxes are slyly instructions. caref,01-01-2026
81,Supplier#000000081,"SLlacbhgpKmVa,gF3saYv12e0",12,22-535-310-6971,166.32,oost carefully quickly regular packages. carefully final excuses sleep blithely slyly pendi,01-01-2026
82,Supplier#000000082,WyTKA7ZpF15t1aCNlT3,18,28-177-572-9691,-724.31,xpress multipliers wake furiously even foxes. furiously iro,01-01-2026
83,Supplier#000000083,WRJUkzCn050seVz57oAfrbCuw,14,24-529-559-2461,1467.77,ly pending courts would cajole enticingly even deposits. slyly express,01-01-2026
84,Supplier#000000084,DcYjWMiZGQqEKOJi4wAmIV08ikx,24,34-869-118-7803,4780.93,even depths. regular foxes use slyly. theod,01-01-2026
85,Supplier#000000085,Ckls9RtlzKSF,7,17-167-806-8199,7174.74,egular packages. bold pinto beans wake fur,01-01-2026
86,Supplier#000000086,J1fgg5QaqnN,19,29-903-665-7065,1883.37,"cajole furiously special, final requests: furiously spec",01-01-2026
87,Supplier#000000087,WCw7URDj8zoZ7tqC3cpm7,24,34-860-229-1674,4746.66,all are quickly after the ironic platelets. pending dolphins are. final the,01-01-2026
88,Supplier#000000088,yOshY8wwzMgS,11,21-191-938-9469,3086.13,furiously special excuses aff,01-01-2026
89,Supplier#000000089,fhtzZcSorhud1,9,19-259-876-1014,1638.02,en instructions across the slyly ironic requests engage,01-01-2026
90,Supplier#000000090,"bPE6Uhz1f2m3gwSGMrnRt,g,3gq37r5kxgphqss1",6,16-380-123-9217,6201.77,hely fluffily regular theodoli,01-01-2026
91,Supplier#000000091,YV45D7TkfdQanOOZ7q9QxkyGUapU1oOWU6q3,3,13-604-986-9056,6255.87,nstructions use carefully according to the special packages: quickly silent th,01-01-2026
92,Supplier#000000092,n48Wy4QI3lml8T217rk,2,12-701-432-8346,2470.84, even theodolites wake against the blithely fluffy packages,01-01-2026
93,Supplier#000000093,"wd1djjKXT,4zBm",16,26-528-528-1157,368.76,yly final accounts could are carefully. fluffily ironic instruct,01-01-2026
94,Supplier#000000094,"lK,pLPjAMVGJOXN80zPZuNQjpChliE",4,14-728-888-8882,2766.80,usly. furiously slow theodolites could haggle carefully fina,01-01-2026
95,Supplier#000000095,p2 2hBfH5TD,19,29-142-539-1403,2588.83,sual instructions cajole slyly with the final ac,01-01-2026
96,Supplier#000000096,"Lbxp3WIipye o2wZme1i9iJx,xTt1Mp",12,22-888-654-7193,3437.24,efully unusual excuses wake fluffily regular theodo,01-01-2026
9001,Supplier#000009001,5wn2LjwDEYMoUb0XDkbPkcap9aDA3JiQje,6,16-485-420-1200,7676.62,unusual packages are accounts. furiously final requests are carefully furiously ironic fo,01-01-2026
9002,Supplier#000009002,8PAqvKqo00,10,20-360-566-1480,16.56,hely express deposits sleep. carefully special gifts according to the acc,01-01-2026
9003,Supplier#000009003,svHUXJGOij1uq2L PYP9OFPmPdvixluPXYody,18,28-470-501-7683,1215.27,"dle deposits impress quickly above the ironic, regula",01-01-2026
9004,Supplier#000009004,nSdPFga2ARrshqSR Zqkd4VBTtv,18,28-588-104-4114,6958.76,"es above the instructions cajole along the regular, regular de",01-01-2026
9005,Supplier#000009005,zp0CwDNMpzJG y6R3hfxOq79,15,25-988-399-1040,1993.37, furiously bold pinto beans. blithely regular Tiresias must de,01-01-2026
9006,Supplier#000009006,"K8Cb,GE i2jpSmrq1jIhTOkuexh1GYmHurHYp",9,19-539-268-3770,5447.57,unts eat. theodolites whithout the quickly silent pinto ,01-01-2026
9007,Supplier#000009007,"39UHgveOhYkEwzdIr,hDui1EcCnlhD6iF2wO",5,15-645-562-3510,2369.72,bout the accounts sleep blithely packages. quick accounts alongside ,01-01-2026
9008,Supplier#000009008,tqXQySU5c4Pvry,15,25-100-733-5634,5811.39,furiously after the daringly unus,01-01-2026
9009,Supplier#000009009,D96aIrY6lR,7,17-148-808-2052,999.09,uffily about the furiously even foxes. regular decoys haggle sly,01-01-2026
9010,Supplier#000009010,Ft95sVR9Tbr,22,32-690-758-7248,3728.90,usual instructions above the slyly unusual pac,01-01-2026
9011,Supplier#000009011,"eUVpuk35UDv6BtA9YI0,u4j lW7SbKuP0Ujvkf",1,11-690-330-1559,2600.88, unusual accounts? slyly regular pinto be,01-01-2026
9012,Supplier#000009012,"iUiTziH,Ek3i4lwSgunXMgrcTzwdb",19,29-250-925-9690,7937.93,to the blithely ironic deposits nag sly,01-01-2026
9013,Supplier#000009013,"MJ0bHctTH,qRRt",19,29-513-589-4374,2892.54,counts. quickly even forges cajole carefully across the carefully ,01-01-2026
9014,Supplier#000009014,VESdCwbtiG1mRHWvkdOZsmZJU,0,10-628-325-8932,3853.97, even packages boost slyly carefully ,01-01-2026
9015,Supplier#000009015, hqZvf3UAZhl0EgVZcm0,11,21-997-953-6904,3734.15,idle packages-- special de,01-01-2026
9016,Supplier#000009016,WiPG0LZgNN9ke9JSyaeTh66OfbPj6OXmCYY5v,22,32-826-716-3859,2804.19,eans. carefully pending excuses haggle ironic packages. carefully bold ,01-01-2026
9017,Supplier#000009017,p7zwkIpBAKLmC7Wgd7LckT,4,14-170-101-4780,4046.45,iet deposits after the daringly enticing hockey players x-ray slyly i,01-01-2026
9018,Supplier#000009018,"3f2cOg,VutETPkzSo3cNTONdWkIkqzz ",18,28-230-488-1227,4718.96,ackages. regular accounts sleep blithely platelets. quickly final somas boo,01-01-2026
9019,Supplier#000009019,"n8p5X,7yaHI8u72uyYVSqw ",14,24-566-213-6246,-362.19,nst the silent sheaves. carefully regular asympt,01-01-2026
9020,Supplier#000009020,JaTDiZo5RHvqv1K4wzwLFqTa,10,20-515-199-3757,4556.82,ons sublate slyly after the quickly bold frays.,01-01-2026
9021,Supplier#000009021,2cI86dCJiou,12,22-277-653-5354,2556.42,"tect blithely regular grouches. even, regular ",01-01-2026
9022,Supplier#000009022,Ep7Zzcxr9dHF pC,13,23-905-336-4879,8670.94,y according to the blithely even asymptotes. slyly regular deposits detec,01-01-2026
9023,Supplier#000009023,",JQVPGb5Q7GiTz4Ys",8,18-579-828-6514,2618.77,he ironic warhorses. even foxes cajole blithely fluffily silent theodolites. slyly fin,01-01-2026
9024,Supplier#000009024,rxNd8I3zet,13,23-418-146-3758,679.62,es. deposits across the slyly bold packages ,01-01-2026
9025,Supplier#000009025,"F1HRl9BAzcEo,",6,16-328-186-9849,2383.86,inal accounts. even pinto beans sleep carefully alongside of the slyly ironic deposits. carefu,01-01-2026
9026,Supplier#000009026,",yb 5xmekw",16,26-300-653-9615,1489.26,"ay blithely. ironic, regular braids serve carefully ",01-01-2026
9027,Supplier#000009027,99FpBGy3asoY2Dkmd,2,12-436-880-3118,3014.23,alongside of the regular instructions; carefully pending requests wake ,01-01-2026
9028,Supplier#000009028,CGp5UiY8rUcMid6tcKWcCCGBrO G8b,14,24-488-812-5079,3195.87,y. carefully bold gifts against the carefully final deposits cajole special pinto beans.,01-01-2026
9029,Supplier#000009029,tMbcraGBCsx6et j8,4,14-197-738-5698,8952.99,ies. ideas boost ironic instruction,01-01-2026
9030,Supplier#000009030,kW2C1c1 MPjvOE3uSrgn,22,32-968-112-9297,1919.66,jole furiously across the ironic instruct,01-01-2026
9031,Supplier#000009031,"FhUkpgtadZ5h7QNKpj7qCP7TOVk8enoPBH,1a46",5,15-429-301-9156,9673.05,"fully regular foxes. final, regular dolphins are fluffily carefully express packages. quickly s",01-01-2026
9032,Supplier#000009032,"qK,trB6Sdy4Dz1BRUFNy",3,13-441-662-5539,3982.32,regular requests use blithely express packages. theodolites cajole boldly along the ideas. package,01-01-2026
9033,Supplier#000009033,"JSTh,gcJINwyiY4o8wfW 9QZzu",17,27-835-350-7270,4885.34,to the blithely ironic accounts. idly final theodolites nag,01-01-2026
9034,Supplier#000009034,"oi,JOa0LITaOToR5L,G1eMDN8ZuhLERVo,3O,2",7,17-351-274-7494,1855.07,l accounts haggle quietly across t,01-01-2026
9035,Supplier#000009035,"8W  kvlvsh5t,DgUFGKXMkaQdEAfF3UNxza",12,22-742-124-7874,2072.81,y ironic instructions above ,01-01-2026
9036,Supplier#000009036,"tATCI,XNX4X7ED",7,17-262-703-4783,9702.45,egular foxes print across the deposits. fluffily even excuses across the even pinto beans are ,01-01-2026
9037,Supplier#000009037,TN4MfTE8ywhIE,19,29-665-258-1017,3125.76,", special ideas. furiously",01-01-2026
9038,Supplier#000009038,"Ij8T0D9Fdkga2TeG7e,s5yYkuG6YF",19,29-665-277-1087,7662.93,hely special requests after the furiously final pinto beans cajole slyly even requests: carefu,01-01-2026
9039,Supplier#000009039,y6FMC2poCxAqi,1,11-980-238-8041,968.07,"rs. special theodolites eat carefully. special, special deposits after ",01-01-2026
9040,Supplier#000009040, DCZDJmcqkjIuyF ,7,17-411-550-2852,-686.32," carefully. even, regular asymptotes are carefully express theod",01-01-2026
9041,Supplier#000009041,02NwJ8FFNyYurwCWNshQYd0xU,0,10-637-812-6249,1983.64,"st the carefully ironic accounts. final, bold pinto ",01-01-2026
9042,Supplier#000009042,h7ZUczo BbywBsYcTB4yCmF,14,24-904-680-8272,7008.00,s promise quietly carefully bold warthogs. furiously iro,01-01-2026
9043,Supplier#000009043,"57OPvKH4qyXIZ7IzYeCaw11a5N1Ki9f1WWmVQ,",3,13-721-447-6674,4484.67,ate carefully. blithely unusual requests ,01-01-2026
9044,Supplier#000009044,IUQ45yv2CVGeB,8,18-532-417-2644,-208.23, until the slyly final packages. foxes sleep pinto beans. ironic asymptotes about the ,01-01-2026
9045,Supplier#000009045,XCXQUEIp36OKslCv7bLMnYnSxdAMPk3t,18,28-840-440-7483,7233.31,ul packages. ironic packages cajole quickly. unusual requests wake daringly ab,01-01-2026
9046,Supplier#000009046,G9I6PPy6WcBpsOPcO4CMORttcmxvbedNG,11,21-928-727-4078,7218.71,"ptotes cajole. busy hockey players cajole stealthily pending, regular acco",01-01-2026
9047,Supplier#000009047,DbN8Q6vaNl3aFvDCEOSh9yN,14,24-999-545-7944,3872.62,ndencies impress slyly excuses. silent pains nag fluffily across the ev,01-01-2026
9048,Supplier#000009048,ubrsBzWtANP80ndOC8AjYB9WX jiohjOdK0,18,28-818-961-8706,9184.96, the packages are quietly blithely express theodolites. final excuses haggle furio,01-01-2026
9049,Supplier#000009049,g4dvfWujwb,23,33-903-164-9041,6668.15,"ependencies are carefully around the ironic foxes. regular, pending packages wake car",01-01-2026
9050,Supplier#000009050,"g4HOYh1gUgrOTtF,75L",21,31-399-753-9871,1585.98," theodolites. ironic, ironic dependencies sleep slyl",01-01-2026
9051,Supplier#000009051,rqjg3yDWpJlheWrvkAwt9iADnozWmy,18,28-823-689-4487,527.18,thely packages. finally unusual packages ,01-01-2026
9052,Supplier#000009052,",,TuA03FajJlRCj080K5aYL9V71cnqL4Pk",0,10-184-936-8351,3287.57,excuses dazzle carefully along the regular theodolites.,01-01-2026
9053,Supplier#000009053,"6h2P5,3j,zDoT",20,30-485-367-6698,-779.38,ickly regular dependencies. regular pinto beans play closely. quickly silent accounts slee,01-01-2026
9054,Supplier#000009054,TN0Arq5KOkfmOhuZSi3lov hkDV,8,18-130-136-9982,-149.24,ckly along the theodolites. quickly final packages wake ironic theodolites. even accounts doze ar,01-01-2026
9055,Supplier#000009055,"h9R,KyJVzCBLgj9En5mxOd0sJL  XWE",4,14-136-356-7916,8615.81,"s wake furiously about the express accounts. regular, final deposits promise",01-01-2026
9056,Supplier#000009056,J XULM9ci1dymQfPtHL3O35IDjm,22,32-702-268-2426,-32.44,deas wake fluffily above the ironic packages. ,01-01-2026
9057,Supplier#000009057,9X8yfLTApewvoHy5d,12,22-542-862-8502,2716.56,egular accounts cajole slyly slyly unusual requests. carefully pending theodolites are,01-01-2026
9058,Supplier#000009058,"JDi9yv70YQ,5GEB6",0,10-169-896-9715,5222.58,nts haggle besides the blithely unusual pinto beans. fluffily ironic packages nag ,01-01-2026
9059,Supplier#000009059,8hio036bAERfw4xaGtLAYlI0qfTu3Lsa1,7,17-878-236-8956,4918.07,sly across the even instructions. slyly regular foxes are carefully along the furiously bold ,01-01-2026
9060,Supplier#000009060,4i8KTf6YCwNcKtshi2m52R8NtJYxLpAHlCn,0,10-752-251-9004,2029.10,ckly ironic excuses at the quickly specia,01-01-2026
9061,Supplier#000009061,DXyzBcTtJ0diaDFN K oiNw9ph5O0hZiF,6,16-875-881-3134,1104.05," packages haggle furiously above the special, final pa",01-01-2026
9062,Supplier#000009062,"LZtzjMg6m7D,q6XopVqVcy",14,24-231-209-5210,7727.35,", express packages mold blithely according to the blithely even packages. carefully",01-01-2026
9063,Supplier#000009063,"Bi2Bk7wvzgXHCAoqH6t,r",9,19-227-328-4842,5601.65,nding accounts cajole furiously. deposits cajole carefully fluffily regula,01-01-2026
9064,Supplier#000009064,"xbtD2V5S6e,rJIGNjRYPyl21u0e",10,20-368-975-7617,6879.57,es. unusual pinto beans are furiously above the slyly idle requests. carefully final dependencies,01-01-2026
9065,Supplier#000009065,ZELuiqWrWbJV9zAuco1OnXKTJClhR,21,31-546-302-5610,1989.79,ages. furiously even instructions according t,01-01-2026
9066,Supplier#000009066,"e3MOn5,2mrRJ1FVYrPHNBhmZn",1,11-223-726-7237,281.13, accounts nag blithely after ,01-01-2026
9067,Supplier#000009067,"TI,wbau X5HpCdASV9BqNPZRpeDlHQpvPzePTtI",11,21-519-914-2068,3840.40,"nic foxes. even, ironic accounts affix alongside of the carefully final requests. slyly even t",01-01-2026
9068,Supplier#000009068,"ErjvNhg,CVml8krRQpo3zW8FYfsbf5iGv5lXGt1m",0,10-265-482-6893,6511.37,ets. slyly even ideas cajole slyly. even depths sleep slyly. regu,01-01-2026
9069,Supplier#000009069,pJUQfs44ak8WCNutFki,17,27-890-324-3523,6643.21,ole among the express requests. blithely silent deposits us,01-01-2026
9070,Supplier#000009070,vTNwNfUei2fgk52PgK92P8Bqb,8,18-966-167-9437,414.07,y final asymptotes. slyly careful,01-01-2026
9071,Supplier#000009071,Eo44RjvwrB82VL1d32,19,29-403-776-9625,5260.43,. dependencies nag slyly deposits. slyly special packages nag carefully agains,01-01-2026
9072,Supplier#000009072,SElQfI7y90sSiv7QyojGyuviKsga8xKExYAWX,14,24-420-730-4891,3017.74," slyly regular accounts nag at the bold, regular requests. packages boost. careful",01-01-2026
9073,Supplier#000009073,JLQG8zebOLa,6,16-912-317-6753,7120.98, instructions wake ironic dep,01-01-2026
